# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
0,1624904171.33931,1654784,-0.0017284021208373208,0.00015815638471394777,1.8048662394285202,0.0,0.0,0.0,0.0,0.0,0.0,7488.077922472429,0.0,0.0,0.0
1,1624904411.7024553,3293184,-0.0020085292150421688,7.554648679312474e-05,1.8478906850020091,0.0,0.0,0.0,0.0,0.0,0.0,6697.1068570541165,0.0,0.0,0.0
2,1624904648.8110595,4931584,-0.0037497168717285,0.00011117150249143985,1.7506761451562245,0.0,0.0,0.0,0.0,0.0,0.0,6926.005250976511,0.0,0.0,0.0
3,1624904879.976848,6569984,-0.0009139039902947843,0.09760753468920787,1.7656012922525406,0.024005102,0.0,0.0,0.0,0.01619898,0.0,6922.802554052265,0.1,0.1,0.0
4,1624905108.3399396,8208384,-0.0013939893688075244,0.1041771792806685,1.7604785909255345,0.02997449,0.0,0.055918366,0.0,0.0,0.0,7172.65533073219,0.1,0.0,0.1
5,1624905337.132077,9846784,-0.0007787960833714654,0.35722816611329716,1.33647121489048,0.14377552,0.0,0.0,0.0,0.04466837,0.0,7071.726151379227,0.4,0.1,0.0
6,1624905578.7018352,11485184,-0.002385578991379589,0.3242456143101056,1.3735998719930649,0.107244894,0.0,0.13938776,0.0,0.20931122,0.0,7096.316248654369,0.2,0.3,0.2
7,1624905818.822473,13123584,-0.0028105569072067738,0.19004081562161446,1.468629504243533,0.28535715,0.33533162,0.05385204,0.0,0.080484696,0.0,6774.691576510612,0.7,0.1,0.1
8,1624906066.7007015,14761984,-0.003202275305132692,0.30644576251506805,1.3210346400737762,0.59155613,0.56377554,0.1240051,0.0,0.38257653,0.3559949,6681.202635135846,1.0,0.6,0.2
9,1624906305.7844534,16400384,-0.0030606211706375084,0.2572222550710042,1.156481718023618,0.29535714,0.27334183,0.36951533,0.37665814,0.49073982,0.51441324,6765.407278846497,0.8,0.8,0.8
10,1624906545.720367,18038784,-0.0017250906482028465,0.7836834813157717,1.2101793835560481,0.3694898,0.52589285,0.40221938,0.51785713,0.62599486,0.6498724,6721.08023826349,0.6,1.0,0.7
11,1624906792.7766218,19677184,-0.005451154177232335,0.06811541776793699,0.8866007328033447,0.78176016,0.8920919,0.698648,0.7876276,0.62711734,0.773852,6591.62157369584,0.9,0.8,0.9
12,1624907040.0572958,21315584,-0.010083081831301874,0.011348174264033636,0.8418956672151884,0.8477806,0.87257653,0.848699,0.87487245,0.8062245,0.8576531,6359.879741370584,1.0,1.0,1.0
13,1624907293.2140071,22953984,-0.000918323795000712,0.26798949142297107,0.5359569365779558,0.64505106,0.61887753,0.825051,0.8656888,0.89943874,0.8989796,6341.4144799743135,1.0,1.0,1.0
14,1624907565.7303932,24592384,-0.0073152775488172965,0.00849789431473861,0.4709531304736932,0.92079085,0.9288266,0.7630612,0.83125,0.8849745,0.888648,6035.9832090933305,1.0,1.0,1.0
15,1624907848.688809,26230784,-0.0011236890180346866,0.140451954677701,0.46839814136425656,0.8764796,0.88635206,0.8177041,0.88635206,0.82941324,0.88061225,5983.718191228156,1.0,1.0,1.0
16,1624908150.485591,27869184,-0.004608863382600248,0.001574485475430265,0.2891662468512853,0.92423475,0.9253826,0.8163265,0.8840561,0.8939285,0.9219388,5532.57555627025,1.0,1.0,1.0
17,1624908455.4060345,29507584,-0.002843674272298813,0.009244204964488745,0.5839680259426435,0.83193874,0.84617347,0.8783163,0.87602043,0.8920919,0.9035714,5427.83762504729,1.0,1.0,1.0
18,1624908741.0154073,31145984,-0.0007470737618859857,0.10986349607507388,0.7013812338312467,0.7059949,0.76581633,0.8948469,0.90012753,0.91137755,0.9242347,5635.845693908424,0.9,1.0,1.0
19,1624909043.3202257,32784384,-0.00848192492655168,0.2129583489149809,1.0156688193480174,0.64482147,0.6165817,0.87028056,0.90012753,0.90265304,0.9253826,5478.603687241668,1.0,1.0,1.0
20,1624909316.650857,34422784,-0.0038165709896323583,0.08888277194152276,0.8493103012442589,0.86637753,0.87142855,0.8278062,0.9081633,0.89071435,0.90586734,5890.284492751651,1.0,1.0,1.0
21,1624909583.482849,36061184,-0.003187067088826249,0.0883906592304508,0.9363535890976588,0.611301,0.5477041,0.7430867,0.80829084,0.86339295,0.88635206,6198.58970318723,1.0,1.0,1.0
22,1624909842.7068386,37699584,-0.0035633419174700975,0.06737532730524738,0.6535643637180328,0.8509949,0.8725765,0.85099494,0.88750005,0.8907143,0.8955357,6136.441837737331,1.0,1.0,1.0
23,1624910096.3090394,39337984,-0.003322261133386443,0.09659881827731927,1.1116947531700134,0.6404592,0.66135204,0.7472193,0.84617347,0.79841834,0.8289541,6386.958704843282,1.0,1.0,1.0
24,1624910340.8307633,40976384,-0.005008061610472699,0.41831599672635394,0.8907561674714088,0.85168374,0.90931123,0.81150514,0.83239794,0.785102,0.8840561,6688.479277970974,1.0,1.0,1.0
25,1624910582.8860736,42614784,-0.0010396814808094252,0.2676749440530936,1.0843341052532196,0.7147194,0.8151786,0.86936224,0.8909439,0.8631633,0.8852041,6653.370477729021,0.9,1.0,1.0
26,1624910850.0087364,44253184,-0.0037967145811611167,0.0788415892360111,0.9459991157054901,0.8656887,0.86224484,0.8301021,0.88635206,0.8822193,0.8920919,6502.19680978419,1.0,1.0,1.0
27,1624911111.5693629,45891584,-0.004157856494809191,0.17174015815059343,0.8601579517126083,0.8229847,0.8955357,0.80140305,0.87831634,0.8865816,0.9024235,6188.900937025344,1.0,1.0,1.0
28,1624911381.9497025,47529984,-0.0009083887077091882,0.3926250586907069,1.2667344957590103,0.08107142,0.0,0.3589286,0.25153062,0.7160969,0.8530612,6176.36681162556,0.2,0.9,0.6
29,1624911652.174647,49168384,-0.003470325163410356,0.17151136603206396,0.899255042274793,0.9221684,0.9253826,0.8032398,0.8473214,0.9012755,0.9035714,5955.028196298087,1.0,1.0,1.0
30,1624911917.0401142,50806784,-0.0033091832495604954,0.03880481515079737,0.5917267774542173,0.8714286,0.91619897,0.81045914,0.8932398,0.80714285,0.8966837,6026.303354186547,1.0,1.0,0.9
31,1624912174.7809484,52445184,-0.0012907603522762656,0.6601970940828323,1.1761279255151749,0.8891071,0.8966837,0.84938776,0.8668367,0.77900505,0.88635206,6264.265628566776,1.0,0.9,1.0
32,1624912444.7304635,54083584,-0.004011382329432915,0.10433643932143848,0.6482064003745714,0.9028827,0.9207908,0.88566333,0.90931123,0.78864795,0.90816325,6286.566361362459,1.0,0.9,1.0
33,1624912718.631246,55721984,-0.0028712323789174357,0.328408428778251,0.890123558541139,0.89943874,0.8989796,0.6993367,0.84158164,0.90265304,0.9012755,6059.816521559167,1.0,1.0,0.9
34,1624912977.0266204,57360384,-0.0018914820393547416,0.18247822547952333,0.7349762370189031,0.92308676,0.9242347,0.72344387,0.9012755,0.7670663,0.88290817,6252.307734675963,1.0,0.9,0.9
35,1624913254.065808,58998784,-0.003339295838183413,0.108825979133447,0.9618572915593783,0.7402041,0.83698976,0.8606378,0.87487245,0.78795916,0.88061225,5901.159528724005,0.9,0.9,1.0
36,1624913511.21839,60637184,-0.0034105264542934797,0.11450790334492922,0.610857126613458,0.92308676,0.9242347,0.8953061,0.91619897,0.88107145,0.9035714,6166.035688200013,1.0,1.0,1.0
37,1624913784.6004834,62275584,-0.005253295569370191,0.2508599602927764,0.7608677521348,0.8854337,0.8989796,0.83905613,0.88176024,0.90196437,0.9024235,6196.913441955186,1.0,1.0,1.0
38,1624914063.6409564,63913984,-0.0049610267936562496,0.25362150619427365,0.8571941579381624,0.8569643,0.8897959,0.90380096,0.8978317,0.90862244,0.9093112,5827.189030682332,1.0,1.0,1.0
39,1624914336.915385,65552384,-0.003338534850627184,0.09688786619032423,0.6991561104853948,0.90173465,0.91849494,0.8408929,0.8840561,0.9109184,0.91505104,5882.288837704132,1.0,1.0,1.0
40,1624914610.3437662,67190784,-0.003482332433729122,0.37206243847807247,0.8013971000909805,0.86706626,0.91619897,0.69920915,0.87372446,0.84617347,0.8966837,6031.929811171039,1.0,1.0,0.8
41,1624914878.6324503,68829184,-0.004615314634672056,0.17724180159469446,0.6032437433799108,0.92905605,0.9345664,0.85673463,0.8909439,0.8932398,0.9012755,6052.297457719438,1.0,1.0,1.0
42,1624915150.609125,70467584,-0.003036534685331086,0.1564228410522143,0.7190437962611517,0.7527296,0.77385205,0.8429592,0.87257653,0.82423466,0.91849494,6005.771442330649,1.0,0.9,1.0
43,1624915421.0330443,72105984,-0.005080821458250284,0.18478208500891924,0.6399345447619756,0.81459177,0.90586734,0.8978316,0.8978317,0.90908164,0.91160715,6081.974802253645,0.9,1.0,1.0
44,1624915701.3571782,73744384,-0.003909173736853215,0.16880793062349161,0.5576252564787865,0.9315817,0.9276786,0.8211479,0.8668367,0.91826534,0.9311224,5932.2891983561885,1.0,1.0,1.0
45,1624915989.1373348,75382784,-0.0027182659250684083,0.11911193436632554,0.5200000082453092,0.933648,0.9345664,0.9028827,0.915051,0.8592602,0.92308676,5626.900924752053,1.0,1.0,1.0
46,1624916274.3026774,77021184,-0.0008107597047152618,0.3910073935985565,0.4945968339840571,0.9292857,0.9265306,0.8063265,0.88061225,0.81505096,0.9253826,5743.418160587405,1.0,0.9,0.9
47,1624916553.9991393,78659584,-0.001367764702687661,0.37474963317314786,0.5819873089591662,0.94443876,0.94489795,0.89989793,0.91045916,0.9159694,0.9242347,5817.134901266522,1.0,1.0,1.0
48,1624916852.826161,80297984,-0.00310813468725731,0.12094211919854085,0.5054715151588122,0.94306123,0.94260204,0.88772964,0.92308676,0.90977037,0.91734695,5457.339220560957,1.0,1.0,1.0
49,1624917147.2311335,81936384,-0.00372693661483936,0.16555757137636343,0.4511580305794875,0.8533929,0.94834185,0.8971429,0.9288265,0.83135206,0.9219388,5547.408131471473,0.9,0.9,1.0
50,1624917445.142322,83574784,-0.0012942394823767245,0.29990827664732933,0.7274293651183447,0.84158164,0.8897959,0.82561225,0.91505104,0.9189541,0.9276786,5521.723523316906,1.0,1.0,0.9
51,1624917747.8944283,85213184,-0.003742766159120947,0.08505927321190636,0.39229536801576614,0.93778056,0.9380102,0.8184948,0.9265306,0.8453571,0.9391582,5508.04822865985,1.0,0.9,0.9
52,1624918059.8266113,86851584,-0.002055934698243315,0.02795406124399354,0.2886490759750207,0.946046,0.94719386,0.7503061,0.91045916,0.9315816,0.91964287,5215.370689063204,1.0,1.0,0.9
53,1624918366.6389773,88489984,-0.0037028643613060317,0.16311008855700493,0.8506804704666138,0.7899235,0.7991072,0.80173475,0.8852041,0.85329086,0.91734695,5424.3709077735775,1.0,1.0,0.9
54,1624918640.985525,90128384,-0.0034279130826083324,0.25885166600346565,0.9195533618330956,0.9019643,0.9035714,0.79691327,0.8897959,0.91872454,0.9207908,5867.403650597783,1.0,1.0,0.9
55,1624918937.8229997,91766784,-0.00362849577019612,0.31497559944788617,0.6247402504086494,0.8269898,0.91849494,0.92079085,0.92308676,0.9279081,0.9380102,5623.139546081399,0.9,1.0,1.0
56,1624919241.9874568,93405184,-0.0007637852492431799,0.13437843850503364,0.44740234067042667,0.89392865,0.90012753,0.91160715,0.9265306,0.9354846,0.9380102,5251.8288215709845,1.0,1.0,1.0
57,1624919548.7281973,95043584,-0.002414176104745517,0.040489563097556434,0.45161281029383343,0.9327296,0.9334184,0.8382398,0.9334184,0.7428316,0.91734695,5332.910300834237,1.0,0.8,0.9
58,1624919846.3934984,96681984,-0.007192230977428456,0.12254142295569181,0.3406486598153909,0.9582144,0.9632653,0.8177041,0.8989796,0.8112756,0.9219388,5706.646927166839,1.0,1.0,1.0
59,1624920161.3579652,98320384,-0.006526577519252896,0.08116911398246884,0.6408350641528765,0.9134439,0.91275513,0.82262754,0.9184949,0.9329592,0.93686223,5121.641665748535,1.0,1.0,0.9
60,1624920475.827941,99958784,5.4717481058711805e-05,0.7782927751541138,0.658853605389595,0.8615562,0.9276786,0.922398,0.9322704,0.8407653,0.9334184,5317.33205977058,1.0,0.9,1.0
61,1624920776.9361522,101597184,-0.003776697732973844,0.11234105719874303,0.5981765886147817,0.8513266,0.94719386,0.91436225,0.9219388,0.93364793,0.9380102,5418.609697058286,0.9,1.0,1.0
62,1624921088.5467787,103235584,-0.002607399132102728,0.15532831754535437,0.5841610506176949,0.8412245,0.9380102,0.91229594,0.92308676,0.9341072,0.9380102,5126.533150371512,0.9,1.0,1.0
63,1624921403.4364552,104873984,-0.0029454789376662425,0.009856274661918482,0.34234895929694176,0.93823975,0.9391582,0.9338776,0.94489795,0.9219388,0.9322704,5261.057796980068,1.0,1.0,1.0
64,1624921684.0574274,106512384,-0.0008190745332588752,0.4694317355751991,0.7700346534450849,0.64137757,0.63494897,0.85283166,0.85535717,0.8010459,0.91734695,5725.194090506521,1.0,0.9,1.0
65,1624921991.755458,108150784,-0.002816515800077468,0.007773188893528034,0.30032501990596455,0.9249234,0.9265306,0.926301,0.92308676,0.8428316,0.9460459,5307.661560142967,1.0,0.9,1.0
66,1624922295.811358,109789184,-0.0010795122264729191,0.05068427541603645,0.3247421296934287,0.80438775,0.7899234,0.89438784,0.91619897,0.9320408,0.9345664,5418.270319613523,1.0,1.0,1.0
67,1624922615.5302715,111427584,-0.0012272277381271124,0.03654515813104808,0.25986507659157115,0.931352,0.9311224,0.82262754,0.92997444,0.8432908,0.93571424,5168.602172708657,1.0,0.9,0.9
68,1624922911.402731,113065984,-0.00299384097646301,0.011107917176559567,0.22492635995149612,0.9393878,0.9403061,0.8327295,0.9288265,0.8407653,0.9345663,5504.518611738398,1.0,0.9,0.9
69,1624923224.0988932,114704384,-0.004968879569787532,0.07822538151716192,0.22914348232249418,0.94994897,0.95178574,0.54857147,0.8771684,0.9308928,0.9334184,5263.0419773782105,1.0,1.0,0.6
70,1624923529.7018452,116342784,-0.004426762645986552,0.04944168395983676,0.4692535884678364,0.8893367,0.8852041,0.8914031,0.9276786,0.8359438,0.9288265,5374.003244667572,1.0,0.9,1.0
71,1624923826.3778958,117981184,-0.0012576939576926331,0.3493073806166649,1.0634700308243434,0.24938777,0.0,0.74823976,0.86339283,0.89852035,0.915051,5533.479791382895,0.4,1.0,0.9
72,1624924120.4037561,119619584,-0.002208496783471977,0.23048128373920918,0.578765777250131,0.94627553,0.94719386,0.8438775,0.91160715,0.9256123,0.9345664,5662.817902331112,1.0,1.0,1.0
73,1624924445.1636796,121257984,-0.0031173216799894967,0.1459221818173925,1.1318237682183583,0.72862244,0.7853316,0.7864796,0.84502554,0.8203317,0.9265306,5107.898222527537,1.0,0.9,1.0
74,1624924733.7486038,122896384,-0.0066469284453584505,0.1457492442180713,0.9146265213688215,0.91275513,0.91160715,0.9012755,0.9012755,0.82859695,0.9345664,5689.879479048385,1.0,0.9,1.0
75,1624925052.7234588,124534784,-0.004430985330448796,0.07826065892974536,0.6375465666254362,0.9345663,0.9345664,0.91390306,0.9093112,0.79461735,0.9207908,5148.871550794071,1.0,0.9,1.0
